id,Fiscal Week,Event Name,Type,Business
1,2015-W27,Win7 Pro_May,Traffic_Pro1,Traffic Business
2,2015-W27,Power PC,Traffic_Pro2,Traffic Business
3,2015-W27,PNL - PCs,SMB_Pro1,SMB
4,2015-W28,Monthly Printer,Traffic_Pro1,Traffic Business
5,2015-W28,Touch,Traffic_Pro2,Traffic Business
6,2015-W28,"PNL - Workstations, monitors",SMB_Pro1,SMB
7,2015-W29,Supplies_May,Traffic_Pro1,Traffic Business
8,2015-W29,Memorial Day Sale1,Traffic_Pro2,Traffic Business
9,2015-W29,Memorial Day Sale2,Traffic_Pro3,Traffic Business
10,2015-W30,Memorial Day Sale3,Traffic_Pro1,Traffic Business
11,2015-W30,Budget,Traffic_Pro2,Traffic Business
12,2015-W31,High performance,Traffic_Pro1,Traffic Business
13,2015-W31,Tablet,Traffic_Pro2,Traffic Business
14,2015-W31,Pavilion x360 (Pike?) NPI for Intel funding?,Traffic_Pro3,Traffic Business
15,2015-W31,PNL - Thin clients,SMB_Pro1,SMB
16,2015-W32,Clearance sale 1,Traffic_Pro1,Traffic Business
17,2015-W32,Clearance sale 2,Traffic_Pro2,Traffic Business
18,2015-W32,Clearance sale 3,Traffic_Pro3,Traffic Business
19,2015-W33,Monthly printer_June,Traffic_Pro1,Traffic Business
20,2015-W33,Win7_June,Traffic_Pro2,Traffic Business
21,2015-W33,DT ENVY tower NPI (6/10 NPI),Traffic_Pro3,Traffic Business
22,2015-W34,Supplies_June,Traffic_Pro1,Traffic Business
23,2015-W34,"Buy more, save more",Traffic_Pro2,Traffic Business
24,2015-W35,July 4 sale 1,Traffic_Pro1,Traffic Business
25,2015-W35,July 4 sale 2,Traffic_Pro2,Traffic Business
26,2015-W35,July 4 sale 3,Traffic_Pro3,Traffic Business
27,2015-W35,PNL - Servers/storage,SMB_Pro1,SMB
28,2015-W36,NPI DT,Traffic_Pro1,Traffic Business
29,2015-W36,Monthly printer_July,Traffic_Pro2,Traffic Business
30,2015-W36,NB NPI - Ad embargo of 6/29?,Traffic_Pro3,Traffic Business
31,2015-W37,DOTW,Traffic_Pro1,Traffic Business
32,2015-W37,Budget,Traffic_Pro2,Traffic Business
33,2015-W37,DOTW reminder,Traffic_Pro3,Traffic Business
34,2015-W37,PNL - Business PCs,SMB_Pro1,SMB
35,2015-W38,High performance,Traffic_Pro1,Traffic Business
36,2015-W38,Detachables,Traffic_Pro2,Traffic Business
37,2015-W38,Tablet & PSG,Traffic_Pro3,Traffic Business
38,2015-W38,PNL- Thin clients,SMB_Pro1,SMB
39,2015-W39,Supplies (national offer),Traffic_Pro1,Traffic Business
40,2015-W39,Win 10 launch,Traffic_Pro2,Traffic Business
41,2015-W39,Win10 + supplies,Traffic_Pro3,Traffic Business
